2026-05-01T22:32:34.074324 - Запущен evaluator для задания b9d7f6fa-50f9-49e2-b9ab-c3d5e29ad694, тип 1
2026-05-01T22:32:34.074393 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-01T22:32:34.075297 - SITL запущен, ожидание инициализации...
2026-05-01T22:32:49.679566 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-01T22:32:50.482964 - Heartbeat получен, соединение с SITL установлено.
2026-05-01T22:32:50.483009 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-01T22:32:50.483210 - Ожидание подключения Mission Planner на порту 14601
2026-05-01T22:32:51.067868 - Предполётная подготовка (критерий 1) выполнена
2026-05-01T22:34:52.328809 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:34:54.508405 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:34:56.515323 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:34:58.509175 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:35:00.521298 - Прогресс: {1: 100, 2: 0, 3: 0, 4: 0}
2026-05-01T22:35:00.752258 - Взлёт на 30.0 м (критерий 2 выполнен)
2026-05-01T22:35:02.528510 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T22:35:04.515067 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T22:35:06.771961 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T22:35:08.997757 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T22:35:11.014178 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T22:35:13.013235 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T22:35:15.005273 - Прогресс: {1: 100, 2: 100, 3: 0, 4: 0}
2026-05-01T22:35:17.007221 - Прогресс: {1: 100, 2: 100, 3: 1, 4: 0}
2026-05-01T22:35:19.023778 - Прогресс: {1: 100, 2: 100, 3: 7, 4: 0}
2026-05-01T22:35:20.249878 - Пройдено 50 м, прогресс 10%
2026-05-01T22:35:21.012864 - Прогресс: {1: 100, 2: 100, 3: 11, 4: 0}
2026-05-01T22:35:23.025375 - Прогресс: {1: 100, 2: 100, 3: 15, 4: 0}
2026-05-01T22:35:25.020905 - Прогресс: {1: 100, 2: 100, 3: 17, 4: 0}
2026-05-01T22:35:25.751768 - Пройдено 105 м, прогресс 20%
2026-05-01T22:35:27.111446 - Прогресс: {1: 100, 2: 100, 3: 21, 4: 0}
2026-05-01T22:35:29.115689 - Прогресс: {1: 100, 2: 100, 3: 25, 4: 0}
2026-05-01T22:35:31.102260 - Пройдено 152 м, прогресс 30%
2026-05-01T22:35:31.109468 - Прогресс: {1: 100, 2: 100, 3: 30, 4: 0}
2026-05-01T22:35:33.119644 - Прогресс: {1: 100, 2: 100, 3: 33, 4: 0}
2026-05-01T22:35:35.126698 - Прогресс: {1: 100, 2: 100, 3: 38, 4: 0}
2026-05-01T22:35:36.104300 - Пройдено 202 м, прогресс 40%
