2026-04-29T20:55:19.234165 - Прогресс: взлёт=100% полёт=33% дистанция=100% посадка=0%
2026-04-29T20:55:21.246657 - Прогресс: взлёт=100% полёт=33% дистанция=100% посадка=0%
2026-04-29T20:55:23.241983 - Прогресс: взлёт=100% полёт=33% дистанция=100% посадка=0%
2026-04-29T20:55:25.468357 - Прогресс: взлёт=100% полёт=33% дистанция=100% посадка=0%
2026-04-29T20:55:27.502771 - Прогресс: взлёт=100% полёт=33% дистанция=100% посадка=0%
2026-04-29T20:55:29.508457 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T20:55:31.739844 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T20:55:33.754443 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T20:55:35.753791 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T20:55:37.754343 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T20:55:39.757983 - Прогресс: взлёт=100% полёт=50% дистанция=100% посадка=0%
2026-04-29T20:55:41.837072 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T20:55:43.987988 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T20:55:46.250880 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T20:55:48.261630 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T20:55:50.262321 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T20:55:52.569005 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T20:55:54.570931 - Прогресс: взлёт=100% полёт=66% дистанция=100% посадка=0%
2026-04-29T20:55:57.036801 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T20:55:59.037138 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T20:56:01.046415 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T20:56:03.039771 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T20:56:05.052805 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T20:56:07.053334 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T20:56:09.058107 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T20:56:10.546656 - Пройдена точка 6, прогресс выполнения маршрута: 100%
2026-04-29T20:56:11.071917 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:13.075947 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:15.078385 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:17.075205 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:19.076733 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:21.079429 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:23.078105 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:25.890289 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:27.901212 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:29.902534 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:31.911724 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:34.068876 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:36.139540 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:38.144028 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T20:56:40.118544 - Посадка после миссии обнаружена (критерий 4 выполнен)
2026-04-29T20:56:40.140174 - Задание завершено. Успех: True
2026-04-29T20:56:40.147802 - Evaluator завершён
