2026-04-29T19:51:24.432347 - Прогресс: взлёт=100% полёт=100% дистанция=87% посадка=0%
2026-04-29T19:51:26.668096 - Прогресс: взлёт=100% полёт=100% дистанция=89% посадка=0%
2026-04-29T19:51:28.911224 - Прогресс: взлёт=100% полёт=100% дистанция=94% посадка=0%
2026-04-29T19:51:30.920591 - Прогресс: взлёт=100% полёт=100% дистанция=99% посадка=0%
2026-04-29T19:51:30.990639 - Пройдено 504 м, прогресс 100%
2026-04-29T19:51:32.923118 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:34.919499 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:36.923192 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:38.926938 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:40.933916 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:43.211769 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:45.208288 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:47.212693 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:49.212231 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:51.212471 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:53.215515 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:55.217046 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:57.219484 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:51:59.216545 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:01.218900 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:03.220924 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:05.224542 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:07.314693 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:09.468785 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:11.471603 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:13.476812 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:16.259004 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:18.262432 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:20.258010 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:22.265428 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
