2026-04-29T20:45:28.226585 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:30.230016 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:32.233547 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:34.219065 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:36.230395 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:45:38.235448 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:40.235155 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:42.234018 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:44.233547 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:46.239243 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:48.255927 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:50.465712 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:52.468369 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:55.099774 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:57.321420 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:45:59.322222 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:01.336041 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:03.332461 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:05.336428 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:07.337710 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:09.333237 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:11.327042 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:13.339070 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:15.485361 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:17.494319 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:19.595230 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:21.599631 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:23.837908 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:25.835413 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:46:28.469005 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
