2026-05-03T20:00:34.189491 - Запущен evaluator для задания cf3f9740-c510-4fe4-bb9f-73b97d85a65e, тип 1
2026-05-03T20:00:34.189559 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-03T20:00:34.191376 - SITL запущен, ожидание инициализации...
2026-05-03T20:00:49.191764 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-03T20:00:49.854238 - Heartbeat получен, соединение с SITL установлено.
2026-05-03T20:00:49.854424 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-03T20:00:49.854799 - Ожидание подключения Mission Planner на порту 14601
2026-05-03T20:00:50.483326 - Предполётная подготовка (критерий 1) выполнена
2026-05-03T20:02:52.065590 - Прогресс: {1: 100, 2: 100, 3: 13, 4: 0}
2026-05-03T20:02:54.062590 - Прогресс: {1: 100, 2: 100, 3: 13, 4: 0}
2026-05-03T20:02:55.055325 - Пройдено 103 м, прогресс 20%
2026-05-03T20:02:56.065103 - Прогресс: {1: 100, 2: 100, 3: 22, 4: 0}
2026-05-03T20:02:58.077525 - Прогресс: {1: 100, 2: 100, 3: 25, 4: 0}
2026-05-03T20:02:59.810188 - Пройдено 150 м, прогресс 30%
2026-05-03T20:03:00.080660 - Прогресс: {1: 100, 2: 100, 3: 30, 4: 0}
2026-05-03T20:03:02.078273 - Прогресс: {1: 100, 2: 100, 3: 34, 4: 0}
2026-05-03T20:03:04.232656 - Прогресс: {1: 100, 2: 100, 3: 38, 4: 0}
2026-05-03T20:03:05.313250 - Пройдено 205 м, прогресс 40%
2026-05-03T20:03:06.318852 - Прогресс: {1: 100, 2: 100, 3: 42, 4: 0}
2026-05-03T20:03:08.310349 - Прогресс: {1: 100, 2: 100, 3: 46, 4: 0}
2026-05-03T20:03:10.057630 - Пройдено 252 м, прогресс 50%
2026-05-03T20:03:10.330592 - Прогресс: {1: 100, 2: 100, 3: 50, 4: 0}
2026-05-03T20:03:12.330345 - Прогресс: {1: 100, 2: 100, 3: 54, 4: 0}
2026-05-03T20:03:15.998454 - Прогресс: {1: 100, 2: 100, 3: 57, 4: 0}
2026-05-03T20:03:16.991329 - Пройдено 302 м, прогресс 60%
2026-05-03T20:03:17.999885 - Прогресс: {1: 100, 2: 100, 3: 61, 4: 0}
