2026-04-29T20:21:49.399340 - Запущен evaluator для задания 5800e070-e3fb-4f11-bdf3-ceee6dd66afd, тип 2
2026-04-29T20:21:49.399748 - SITL запущен, ожидание инициализации...
2026-04-29T20:22:04.400195 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:22:04.436951 - Heartbeat получен, соединение установлено.
2026-04-29T20:24:04.807579 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:07.048451 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:09.041156 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:11.052018 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:13.301639 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:15.295396 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:17.305124 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:19.307317 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:21.458877 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:23.454310 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:25.555245 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:27.557787 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:29.553062 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:31.564830 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:33.784819 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:35.797105 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:38.049017 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:41.122695 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:43.120342 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:45.116378 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:47.120308 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:49.118965 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:51.123348 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:53.122167 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:55.132677 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:57.366710 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:24:59.371192 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:01.362486 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:03.358718 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:05.530809 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:07.617808 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:09.612811 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:11.623545 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:14.063882 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:16.064719 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:18.079167 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:20.220201 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:22.217448 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:24.227678 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:26.304215 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:28.306991 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:30.306915 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:32.308730 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:34.311327 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:36.324354 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:38.324397 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:40.326078 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:42.317527 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:44.334769 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:47.106442 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:49.115307 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:51.124273 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:53.365343 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:55.359099 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:57.368446 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:25:59.368352 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:01.374094 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:03.610022 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:05.616152 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:07.609355 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:09.610672 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:11.613631 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:13.625126 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:15.614980 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:18.009289 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:20.257896 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:22.268366 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:24.267550 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:26.265436 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:28.269905 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:30.503679 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:32.515202 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:34.514219 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:36.525209 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:38.519402 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:40.531496 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:42.530422 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:44.521939 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:46.531911 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:48.765526 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:50.773008 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:53.289132 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:55.291185 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:57.292693 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:26:59.295441 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:01.296105 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:03.290937 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:05.288870 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:07.535364 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:09.551768 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:11.547443 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:13.550409 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:15.781556 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:17.784822 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:19.782905 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:21.793888 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:23.795656 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:26.309661 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:28.318493 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:28.329807 - Режим AUTO активирован
2026-04-29T20:27:30.324923 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:32.324144 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:34.324914 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:36.334499 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:38.569476 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:40.571716 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:42.827559 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:44.823761 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:46.824285 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:48.828153 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:50.830157 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:52.829589 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:55.077370 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:57.071045 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:27:59.363860 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:01.377003 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:03.372540 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:05.386588 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:07.623502 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:09.624985 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:11.634008 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:13.633479 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:15.630427 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:17.654392 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:19.866077 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:21.872377 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:23.873000 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:25.885038 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:28.131681 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:30.383318 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:32.483596 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:34.712800 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:36.855331 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:38.969685 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:40.969301 - Прогресс: взлёт=0% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:41.009857 - Миссия загружена, количество точек: 7 (критерий 1 выполнен)
2026-04-29T20:28:42.973865 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:44.976545 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:46.982161 - Прогресс: взлёт=100% полёт=0% дистанция=100% посадка=0%
2026-04-29T20:28:49.214644 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:28:51.465562 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:28:53.474960 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:28:55.474847 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:28:57.473001 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:28:59.466716 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:29:01.467461 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:29:03.468298 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:29:05.580080 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:29:07.822286 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:29:09.818279 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:29:11.815091 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:29:13.832943 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
