2026-04-29T20:59:14.590291 - Запущен evaluator для задания e4e431aa-22e7-4fcf-a687-819622c74eb1, тип 2
2026-04-29T20:59:14.590692 - SITL запущен, ожидание инициализации...
2026-04-29T20:59:29.591004 - Подключение к MAVProxy на UDP 14550...
2026-04-29T20:59:30.100214 - Heartbeat получен, соединение установлено.
2026-04-29T21:01:27.589058 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:29.589312 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:31.593844 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:33.594020 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:35.593189 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:37.598302 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:39.841817 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:41.845226 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:43.845378 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:45.850299 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:47.856950 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:50.024182 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:52.110206 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:54.102445 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:56.107941 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:01:58.106692 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:02:00.108225 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:02:02.115905 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:02:04.115288 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:02:06.118820 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
2026-04-29T21:02:08.347189 - Прогресс: взлёт=100% полёт=83% дистанция=100% посадка=0%
