2026-04-29T20:35:33.598986 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:35:35.607977 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:35:37.606112 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:35:39.661207 - Прогресс: взлёт=100% полёт=28% дистанция=100% посадка=0%
2026-04-29T20:35:41.658484 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:35:43.855275 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:35:45.850642 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:35:47.862473 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:35:49.860519 - Прогресс: взлёт=100% полёт=42% дистанция=100% посадка=0%
2026-04-29T20:35:51.869989 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:35:53.872953 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:35:55.883658 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:35:58.483896 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:36:00.487940 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:36:02.572339 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:36:04.578251 - Прогресс: взлёт=100% полёт=57% дистанция=100% посадка=0%
2026-04-29T20:36:06.583222 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:36:08.580509 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:36:10.586254 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:36:12.624117 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:36:14.821106 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:36:16.826229 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:36:18.830745 - Прогресс: взлёт=100% полёт=71% дистанция=100% посадка=0%
2026-04-29T20:36:21.083110 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:23.086155 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:25.142870 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:27.346911 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:29.489733 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:31.807705 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:33.797319 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:35.870354 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:38.080476 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:40.066984 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:42.071135 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:44.102485 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:46.103685 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:48.303078 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:50.312393 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:52.313932 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:54.464654 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:56.559050 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:36:58.563607 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:00.554434 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:02.564756 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:04.942690 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:06.979679 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:09.192859 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:11.197494 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:13.195491 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:15.441926 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:17.490865 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:19.490511 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:21.699387 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:23.698730 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:25.702174 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:27.707977 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:29.702214 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:31.696899 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:33.943561 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:35.945211 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:38.418825 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:40.484270 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:42.677796 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:44.680804 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:46.667604 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:48.673928 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
